"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0003500008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
31/12/2025;8147.05;8149.50;8118.48;8149.50;8149.50;0;0;1028415509;
30/12/2025;8097.44;8184.03;8095.02;8168.15;8168.15;0;0;2007321555;
29/12/2025;8127.59;8132.59;8087.48;8112.02;8112.02;0;0;2310311461;
24/12/2025;8109.30;8135.71;8103.58;8103.58;8103.58;0;0;560783177;
23/12/2025;8120.08;8127.07;8088.41;8103.85;8103.85;0;0;2113578167;
22/12/2025;8135.52;8143.38;8099.45;8121.07;8121.07;0;0;2266601809;
19/12/2025;8131.24;8177.75;8131.06;8151.38;8151.38;0;0;7626540922;
18/12/2025;8087.43;8166.72;8086.59;8150.64;8150.64;0;0;3925515378;
17/12/2025;8116.26;8136.07;8074.04;8086.05;8086.05;0;0;3520659153;
16/12/2025;8114.39;8150.22;8086.70;8106.16;8106.16;0;0;4085837952;
15/12/2025;8087.07;8161.03;8086.07;8124.88;8124.88;0;0;3662897282;
12/12/2025;8100.53;8155.39;8068.62;8068.62;8068.62;0;0;3388152673;
11/12/2025;8046.17;8104.76;8009.04;8085.76;8085.76;0;0;3592917098;
10/12/2025;8035.09;8045.22;8005.11;8022.69;8022.69;0;0;3189630077;
09/12/2025;8117.43;8135.98;8044.99;8052.51;8052.51;0;0;3226978458;
08/12/2025;8098.96;8110.76;8080.85;8108.43;8108.43;0;0;2755146516;
05/12/2025;8148.07;8160.81;8114.74;8114.74;8114.74;0;0;3081595540;
04/12/2025;8115.17;8137.65;8098.09;8122.03;8122.03;0;0;3575475988;
03/12/2025;8071.78;8103.14;8051.45;8087.42;8087.42;0;0;3523334942;
02/12/2025;8084.77;8135.80;8072.06;8074.61;8074.61;0;0;3298677960;
01/12/2025;8078.40;8114.14;8043.81;8097.00;8097.00;0;0;3747910657;
28/11/2025;8105.01;8132.17;8084.23;8122.71;8122.71;0;0;2874971330;
27/11/2025;8098.68;8115.46;8080.84;8099.47;8099.47;0;0;1928975813;
26/11/2025;8075.47;8098.67;8027.61;8096.43;8096.43;0;0;3118688692;
25/11/2025;7981.89;8038.67;7942.72;8025.80;8025.80;0;0;3546686552;
24/11/2025;8030.46;8033.38;7958.61;7959.67;7959.67;0;0;6948751003;
21/11/2025;7881.10;7996.46;7875.87;7982.65;7982.65;0;0;4196945567;
20/11/2025;8044.85;8057.70;7981.07;7981.07;7981.07;0;0;3582947784;
