"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0011476928
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
31/12/2025;29.25;29.30;28.90;28.95;28.95;5913;90;171828;29.0593
30/12/2025;29.25;29.40;29.10;29.30;29.30;7396;153;216483;29.2703
29/12/2025;28.70;29.45;28.70;29.25;29.25;21911;285;637921;29.1142
24/12/2025;28.50;28.85;28.50;28.85;28.85;3811;70;109416;28.7106
23/12/2025;28.75;29.05;28.45;28.55;28.55;13238;205;379905;28.6980
22/12/2025;28.70;28.90;28.45;28.75;28.75;14482;200;415959;28.7225
19/12/2025;28.65;28.80;28.30;28.60;28.60;51227;301;1461886;28.5374
18/12/2025;28.30;28.55;28.10;28.50;28.50;14888;216;422333;28.3674
17/12/2025;28.45;28.85;28.25;28.30;28.30;16528;264;470283;28.4537
16/12/2025;29.00;29.50;28.30;28.30;28.30;35776;430;1026149;28.6826
15/12/2025;29.05;29.40;28.95;29.25;29.25;16267;258;474038;29.1411
12/12/2025;29.20;29.50;28.85;28.85;28.85;12997;188;377785;29.0671
11/12/2025;29.15;29.40;28.95;29.10;29.10;16988;209;494974;29.1367
10/12/2025;28.60;29.20;28.60;29.05;29.05;10412;185;301339;28.9415
09/12/2025;29.35;29.50;28.35;28.50;28.50;23527;265;674760;28.6802
08/12/2025;28.50;29.65;28.20;29.25;29.25;43993;639;1283052;29.1649
05/12/2025;28.85;28.95;28.40;28.40;28.40;18192;296;520413;28.6067
04/12/2025;28.45;29.20;28.45;28.85;28.85;24259;450;700161;28.8619
03/12/2025;28.15;28.45;28.10;28.45;28.45;13108;267;371006;28.3038
02/12/2025;28.05;28.35;28.05;28.10;28.10;13006;222;366103;28.1488
01/12/2025;28.05;28.25;27.75;28.15;28.15;17070;252;478572;28.0359
28/11/2025;27.90;28.20;27.90;28.20;28.20;13122;223;368930;28.1154
27/11/2025;27.20;28.00;27.15;27.85;27.85;14247;247;394075;27.6602
26/11/2025;27.10;27.60;26.95;27.40;27.40;26324;351;719430;27.3298
25/11/2025;26.90;27.35;26.70;27.05;27.05;14731;204;397765;27.0019
24/11/2025;26.60;27.25;26.60;26.75;26.75;32043;401;860687;26.8604
21/11/2025;26.50;26.80;26.25;26.65;26.65;11033;242;293219;26.5765
20/11/2025;27.60;27.75;26.60;26.60;26.60;16827;319;455305;27.0580
19/11/2025;27.95;28.15;27.55;27.60;27.60;17142;273;476314;27.7864
18/11/2025;28.25;28.25;27.95;28.00;28.00;26160;383;735092;28.0999
17/11/2025;28.45;28.85;28.20;28.25;28.25;15604;250;443386;28.4149
14/11/2025;28.85;28.85;28.20;28.45;28.45;19529;237;554139;28.3752
13/11/2025;28.85;29.25;28.80;28.95;28.95;9323;163;270148;28.9766
12/11/2025;28.80;29.10;28.60;28.75;28.75;25097;253;724995;28.8877
11/11/2025;28.50;28.75;28.35;28.75;28.75;10063;206;288580;28.6773
10/11/2025;28.05;28.50;28.05;28.40;28.40;9047;211;256312;28.3311
07/11/2025;28.35;28.55;27.85;27.95;27.95;14455;217;406417;28.1160
06/11/2025;28.50;28.80;28.05;28.40;28.40;18728;316;532083;28.4111
05/11/2025;28.00;28.55;28.00;28.40;28.40;14371;276;407195;28.3345
04/11/2025;28.05;28.10;27.65;27.95;27.95;16785;305;468363;27.9036
03/11/2025;28.35;28.50;28.05;28.15;28.15;13982;286;395024;28.2525
31/10/2025;28.25;28.60;28.10;28.40;28.40;23498;270;667785;28.4188
30/10/2025;28.20;28.45;28.10;28.25;28.25;8937;172;252629;28.2677
29/10/2025;28.65;28.70;28.10;28.10;28.10;17712;238;500256;28.2439
28/10/2025;28.90;28.90;28.35;28.60;28.60;16416;223;469331;28.5898
27/10/2025;30.00;30.00;28.90;28.95;28.95;15609;229;457068;29.2823
24/10/2025;30.25;30.70;29.80;29.85;29.85;24449;377;735886;30.0988
23/10/2025;29.10;30.40;29.10;30.05;30.05;38378;394;1149216;29.9446
22/10/2025;28.75;29.05;28.65;28.85;28.85;42775;269;1234180;28.8528
21/10/2025;28.65;29.00;28.50;28.70;28.70;16608;352;476985;28.7202
20/10/2025;28.50;28.65;28.15;28.50;28.50;13393;218;380526;28.4123
17/10/2025;27.90;28.50;27.65;28.30;28.30;45922;222;1300994;28.1525
16/10/2025;28.05;28.15;27.90;28.00;28.00;13848;187;388004;28.0188
15/10/2025;28.45;28.55;27.90;27.95;27.95;21138;258;594571;28.1281
14/10/2025;27.65;28.05;27.65;28.05;28.05;13475;276;376362;27.9304
13/10/2025;27.70;28.20;27.70;27.90;27.90;16622;317;463933;27.9108
10/10/2025;28.20;28.65;27.70;27.70;27.70;12021;212;338688;28.1747
09/10/2025;28.65;28.95;28.10;28.30;28.30;13353;181;381108;28.5410
08/10/2025;28.45;29.00;28.40;28.55;28.55;11677;196;334685;28.6619
07/10/2025;29.10;29.35;28.55;28.55;28.55;16409;208;473854;28.8777
06/10/2025;29.35;29.55;28.20;29.00;29.00;20172;279;583276;28.9151
03/10/2025;29.00;29.45;29.00;29.45;29.45;29333;357;860177;29.3246
02/10/2025;29.50;29.65;28.80;29.05;29.05;13189;251;384022;29.1168
01/10/2025;29.35;29.65;29.00;29.40;29.40;49085;499;1441356;29.3645
30/09/2025;29.05;29.45;28.75;29.20;29.20;17625;290;513080;29.1109
29/09/2025;28.95;29.20;28.80;29.20;29.20;17283;262;502776;29.0908
26/09/2025;28.55;28.70;28.35;28.70;28.70;14473;303;413945;28.6012
25/09/2025;28.85;28.85;28.30;28.45;28.45;19330;264;550491;28.4786
24/09/2025;28.80;28.80;28.40;28.80;28.80;15212;246;436900;28.7207
23/09/2025;28.35;28.95;28.35;28.70;28.70;15336;284;439989;28.6899
22/09/2025;28.30;28.40;27.80;28.35;28.35;27477;338;775822;28.2353
19/09/2025;28.95;29.20;28.70;28.70;28.70;45042;238;1294639;28.7429
18/09/2025;29.20;29.35;28.75;28.85;28.85;18656;224;542356;29.0714
17/09/2025;28.80;29.35;28.70;29.20;29.20;25223;294;734050;29.1024
16/09/2025;28.75;29.00;28.60;28.75;28.75;24431;282;703146;28.7809
15/09/2025;28.30;29.10;28.25;28.75;28.75;36536;465;1048225;28.6902
12/09/2025;28.70;28.70;28.05;28.25;28.25;16607;221;469507;28.2716
11/09/2025;28.60;28.75;28.45;28.60;28.60;16621;251;475975;28.6369
10/09/2025;28.50;29.05;28.40;28.60;28.60;26571;351;760391;28.6173
09/09/2025;28.45;28.70;28.20;28.45;28.45;19432;315;552132;28.4135
08/09/2025;28.60;28.60;28.20;28.40;28.40;16534;275;469159;28.3754
05/09/2025;29.05;29.05;28.45;28.50;28.50;11482;231;329308;28.6804
04/09/2025;29.25;29.45;28.85;28.95;28.95;15718;263;457227;29.0894
03/09/2025;29.20;30.00;29.10;29.15;29.15;26634;324;781490;29.3418
02/09/2025;29.55;29.60;29.00;29.10;29.10;24190;400;708726;29.2983
01/09/2025;29.50;29.80;29.40;29.50;29.50;21298;344;629803;29.5710
29/08/2025;29.75;30.10;29.45;29.45;29.45;24740;426;734787;29.7004
28/08/2025;29.10;30.10;29.10;29.85;29.85;28530;355;850712;29.8182
27/08/2025;28.70;29.35;28.55;29.10;29.10;25245;344;729324;28.8898
26/08/2025;30.20;30.20;29.10;29.10;29.10;25290;339;744972;29.4572
25/08/2025;30.60;30.70;30.30;30.35;30.35;10159;147;309086;30.4248
22/08/2025;30.30;31.00;30.30;30.70;30.70;13993;220;429349;30.6831
21/08/2025;29.70;30.60;29.70;30.35;30.35;30130;321;912319;30.2794
20/08/2025;29.40;29.90;29.40;29.80;29.80;24158;348;717652;29.7066
19/08/2025;28.65;29.70;28.60;29.50;29.50;20637;292;605067;29.3195
18/08/2025;28.95;29.35;28.65;28.65;28.65;18742;267;541137;28.8730
15/08/2025;29.25;29.40;28.95;28.95;28.95;20412;268;594212;29.1109
14/08/2025;29.10;29.50;29.05;29.20;29.20;15417;232;450611;29.2282
13/08/2025;29.25;29.55;29.10;29.10;29.10;17316;233;505744;29.2067
12/08/2025;29.15;29.55;28.95;29.10;29.10;16067;236;468962;29.1879
11/08/2025;29.60;29.65;29.10;29.10;29.10;23937;345;701939;29.3244
08/08/2025;29.50;29.95;29.30;29.60;29.60;18055;298;533794;29.5649
07/08/2025;29.95;30.40;29.30;29.55;29.55;40907;478;1215149;29.7052
06/08/2025;30.00;30.30;29.95;30.00;30.00;22342;345;672107;30.0827
05/08/2025;29.65;30.20;29.65;30.00;30.00;23483;285;704606;30.0049
04/08/2025;29.35;29.80;29.35;29.55;29.55;20972;309;620051;29.5657
01/08/2025;29.60;29.65;29.25;29.30;29.30;17033;377;500556;29.3874
31/07/2025;30.15;30.55;29.75;29.75;29.75;29477;364;885470;30.0393
30/07/2025;29.95;30.05;29.45;30.00;30.00;26896;420;803361;29.8691
29/07/2025;30.20;30.80;29.95;29.95;29.95;28984;459;878603;30.3134
28/07/2025;30.00;30.50;29.95;30.20;30.20;40634;478;1230879;30.2885
25/07/2025;29.60;30.10;29.45;29.75;29.75;62632;759;1868318;29.8301
24/07/2025;31.35;31.35;28.25;29.40;29.40;172209;2089;5080750;29.5034
23/07/2025;32.05;32.35;31.95;32.35;32.35;28614;447;922036;32.2232
22/07/2025;32.65;32.65;31.65;31.90;31.90;21135;369;677595;32.0603
21/07/2025;33.60;33.85;32.65;32.65;32.65;26561;335;876534;33.0008
18/07/2025;33.95;33.95;33.60;33.60;33.60;11155;193;375889;33.6969
17/07/2025;33.50;34.05;33.50;33.85;33.85;13963;234;472309;33.8258
16/07/2025;34.05;34.15;33.50;33.50;33.50;17876;303;603494;33.7600
15/07/2025;35.10;35.35;34.15;34.20;34.20;30734;425;1063742;34.6113
14/07/2025;34.50;35.15;34.30;34.95;34.95;21769;337;758321;34.8349
11/07/2025;34.80;35.40;34.65;34.65;34.65;25279;420;883457;34.9483
10/07/2025;34.65;35.10;34.65;34.95;34.95;26278;426;918408;34.9497
09/07/2025;34.50;34.80;34.10;34.70;34.70;21307;346;736907;34.5852
08/07/2025;34.45;34.60;34.10;34.40;34.40;20414;386;701697;34.3733
07/07/2025;34.70;34.90;34.35;34.35;34.35;21509;386;744495;34.6132
04/07/2025;34.75;35.00;34.50;34.75;34.75;15998;275;556158;34.7642
03/07/2025;34.70;35.05;34.60;34.90;34.90;21127;512;735404;34.8087
02/07/2025;34.45;35.30;34.30;34.70;34.70;45504;809;1581425;34.7535
01/07/2025;33.75;35.30;33.75;35.25;35.25;58763;833;2038964;34.6981
30/06/2025;33.00;33.70;32.80;33.60;33.60;34225;492;1142840;33.3920
27/06/2025;32.40;33.20;32.40;32.80;32.80;69235;664;2266776;32.7404
26/06/2025;32.15;32.75;32.15;32.40;32.40;45633;414;1476185;32.3489
25/06/2025;31.80;32.40;31.80;32.15;32.15;23824;337;765353;32.1253
24/06/2025;31.20;32.15;31.10;31.65;31.65;53121;637;1674649;31.5239
23/06/2025;30.65;31.15;30.45;30.80;30.80;15477;286;477796;30.8714
20/06/2025;30.75;31.35;30.75;30.75;30.75;52159;263;1606386;30.7979
19/06/2025;31.55;31.55;30.75;30.75;30.75;11962;259;371811;31.0827
18/06/2025;32.10;32.10;31.40;31.65;31.65;34191;462;1082995;31.6749
17/06/2025;32.00;33.05;31.90;32.25;32.25;30703;541;995501;32.4238
16/06/2025;31.75;32.40;31.75;32.05;32.05;14052;263;450787;32.0799
13/06/2025;32.25;32.70;31.70;31.70;31.70;22261;420;714304;32.0877
12/06/2025;32.50;33.20;32.35;33.00;33.00;39601;583;1302914;32.9010
